,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.96615905,20.16194332,23.59591539,21.97249245,21.85473411,21.42260662,24.83946981,24.88809795,24.44438371,22.88751239,22.83830492,22.32255146,21.41435427,21.24837886,24.83460949,26.46477687,25.10722152,26.17919248,26.19250461,24.82183747,23.25388386,23.48631342,23.0234869,23.07099681,22.49853623,26.9001659,21.60416516,
Africa Eastern and Southern,AFE,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,6.729799999,7.274264036,7.693556487,6.897863617,8.694370757,8.550901994,8.670487433,9.094913602,9.237694102,9.146082898,9.536683208,10.115645,9.709671945,9.124015566,9.321829623,10.30458106,10.75935749,10.54526103,11.24662232,11.93037882,12.5824825,12.86719682,13.18520798,13.09664658,14.21216758,13.90148423,14.5422058,15.51563333,14.70121356,13.99929147,14.42753838,14.63942706,16.36292722,16.30949027,17.43529206,15.99077248,16.39790498,16.37196309,16.28704015,16.23877484,15.2155646,15.43593129,15.17868441,16.07971793,16.02168627,15.18098505,14.70473979,14.74302161,14.98462925,15.57131642,15.48516355,15.76784792,15.93030425,16.27950768,15.75995903,15.14689157,14.76641073,14.67984977,14.91700503,14.71968335,15.30688933,15.03291508,14.39590088
Afghanistan,AFG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,4.073426225,4.43265599,5.142949716,5.643357414,5.689172362,7.746035586,8.165513495,8.119324583,8.245915338,8.317780049,8.582279541,9.17155183,10.57745476,7.94725863,6.976261229,6.343927676,6.059737284,6.595756702,6.093180399,5.92047602,6.081117119,5.488861593,5.52880732,7.434665357,7.004618852,7.102392894,10.09028649,9.966766483,9.832796929,9.790991015,10.25102206,9.844108653,9.083383416,8.550071222,8.244284489,8.240450319,7.758285538,8.267409771,8.188755146,10.50851009,8.5356658,
Angola,AGO,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.15463272,19.13057854,21.85425979,14.31206294,16.02903718,15.34172241,15.5369347,16.81461154,19.89858608,17.04234586,18.23585922,17.8426333,21.62194873,17.97565865,16.43283283,13.88068508,12.93581932,10.47454356,8.598856284,9.267033284,8.14602123,
Albania,ALB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,9.311651504,8.843533907,8.898612793,9.093995237,9.751530501,9.639551408,9.613429837,9.99617334,9.805062069,9.131903297,19.18854689,22.8753326,21.40828829,14.6384098,14.62340192,13.82711526,9.453602266,10.4480086,10.8444061,11.05557559,9.692453497,10.6259555,11.33513679,11.09842299,11.20586696,11.03126729,10.52729064,10.47743929,10.37895632,11.10943444,11.15736037,10.97416548,10.84481596,11.02549381,11.45186823,11.11063531,11.26931522,11.49839762,11.28656921,11.34698393,11.84850785,11.90841263,10.1834874
Andorra,AND,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,18.28909904,18.77128046,18.35579541,18.33481399,18.43355487,18.10470287,13.20565981,16.92826008,17.87108818,17.77505436,20.59620716,18.68130951,16.1421885,19.4168356,23.29877768,25.45297789,24.35502605,24.32566798,26.28393002,25.21010509,24.38527508,23.76436872,17.74420413,22.68144018,22.38220966,19.83790191,18.62111186,17.80457738,17.58723854,18.05813982,18.7830545,17.1802739,16.76572196,17.53360962,17.51946133,16.82126202,16.71088655,15.32447638,14.55611782,14.33803948,13.22336605,16.18577499,15.46257302,16.00563396,15.85836561,17.089542,18.44273705,20.25322823,18.98764433,18.27594537,18.12627735,18.55805119,21.19166689,17.59700907,
United Arab Emirates,ARE,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.914023515,10.14648629,9.750233543,8.746697514,7.872593156,6.917822055,6.732997877,7.296835617,10.23414291,10.03106782,9.953314032,9.476950827,10.70692134,10.64231583,12.0210761,12.11229326,13.04577655,11.68541976,12.25514283,14.45010966,,
Argentina,ARG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,9.880445095,7.789632048,12.19237454,10.25219496,7.22902581,8.089486313,10.80433856,9.739278166,9.829350628,9.50117537,9.742543262,10.14621607,9.351696961,11.53932357,13.15323273,12.58917764,9.420094728,9.015409977,11.16611167,11.00784596,,,,,,,,4.714494499,4.321910284,4.494395965,3.135428392,3.321761288,2.975538028,13.51037847,13.18690437,13.34945568,12.50167766,12.06201425,12.494775,13.72321141,13.78419131,14.15627431,12.2352473,11.43805679,11.11463607,12.14186124,12.42941537,12.9893239,13.63351326,15.90389675,15.16371789,15.68895652,16.64543781,16.8062378,16.94987574,18.09837976,17.65457819,17.69689392,15.80509716,16.44324159,16.89143403,15.84338705,15.58202474
