Country Name,Indicator Name,2013,2014,2015,2016,2017,2018
Aruba,General government final consumption expenditure (% of GDP),26.19250461,24.82183747,23.25388386,23.48631342,23.0234869,23.07099681
Africa Eastern and Southern,General government final consumption expenditure (% of GDP),16.27950768,15.75995903,15.14689157,14.76641073,14.67984977,14.91700503
Afghanistan,General government final consumption expenditure (% of GDP),,,,,,
Africa Western and Central,General government final consumption expenditure (% of GDP),9.083383416,8.550071222,8.244284489,8.240450319,7.758285538,8.267409771
Angola,General government final consumption expenditure (% of GDP),21.62194873,17.97565865,16.43283283,13.88068508,12.93581932,10.47454356
Albania,General government final consumption expenditure (% of GDP),11.02549381,11.45186823,11.11063531,11.26931522,11.49839762,11.28656921
Andorra,General government final consumption expenditure (% of GDP),,,,,,
Arab World,General government final consumption expenditure (% of GDP),17.089542,18.44273705,20.25322823,18.98764433,18.27594537,18.12627735
United Arab Emirates,General government final consumption expenditure (% of GDP),10.70692134,10.64231583,12.0210761,12.11229326,13.04577655,11.68541976
Argentina,General government final consumption expenditure (% of GDP),16.8062378,16.94987574,18.09837976,17.65457819,17.69689392,15.80509716
Armenia,General government final consumption expenditure (% of GDP),11.93506543,12.08585349,13.11159781,13.45415852,12.31855199,11.48669032
American Samoa,General government final consumption expenditure (% of GDP),,,,,,
Antigua and Barbuda,General government final consumption expenditure (% of GDP),17.17289829,16.71704779,16.26094257,15.74150377,16.02747333,15.25335574
Australia,General government final consumption expenditure (% of GDP),18.77073709,18.68913804,19.09844422,19.86922773,19.82160848,19.89569285
Austria,General government final consumption expenditure (% of GDP),19.91594275,19.80284204,19.76169058,19.65110116,19.48926401,19.33938252
Azerbaijan,General government final consumption expenditure (% of GDP),10.28324911,10.88587304,12.40823832,12.83206344,11.34141244,10.46646357
Burundi,General government final consumption expenditure (% of GDP),24.70016952,25.90000619,22.42238344,23.47319363,25.08628881,26.21026746
Belgium,General government final consumption expenditure (% of GDP),24.31276726,24.23389585,23.61508745,23.26203662,23.03246309,23.14146612
Benin,General government final consumption expenditure (% of GDP),11.04223423,10.18019708,11.41138015,10.28081876,10.47898429,10.41050539
Burkina Faso,General government final consumption expenditure (% of GDP),14.65558629,15.47477861,15.94408026,16.5070966,17.73932315,18.41940948
Bangladesh,General government final consumption expenditure (% of GDP),5.116131642,5.337520757,5.404240381,5.865298315,6.02233216,5.959166931
Bulgaria,General government final consumption expenditure (% of GDP),17.08486874,16.83265399,16.08416117,15.58277019,15.57641051,16.4143433
Bahrain,General government final consumption expenditure (% of GDP),15.55222627,16.12526267,17.6852499,17.11113953,16.62645616,16.28607455
"Bahamas, The",General government final consumption expenditure (% of GDP),12.7257924,11.98271311,11.52841196,10.83670899,11.89537683,11.46235064
Bosnia and Herzegovina,General government final consumption expenditure (% of GDP),22.82577748,22.86104414,21.96980753,20.90945001,20.16533362,19.65735729
Belarus,General government final consumption expenditure (% of GDP),13.42981131,13.75420395,14.92158825,15.65366671,15.65325113,15.73986266
Belize,General government final consumption expenditure (% of GDP),16.5065287,16.25350795,17.05496494,17.9765331,18.65704287,19.2224622
Bermuda,General government final consumption expenditure (% of GDP),13.65583545,12.83491644,12.50314635,12.13059125,11.62692886,11.72832407
Bolivia,General government final consumption expenditure (% of GDP),13.84151434,14.70704664,17.49525823,17.4582522,17.02164003,17.52564469
Brazil,General government final consumption expenditure (% of GDP),18.892479,19.15353871,19.77681995,20.37929743,20.1619047,19.89508778
Barbados,General government final consumption expenditure (% of GDP),14.79012564,14.34797898,13.60777504,13.42030962,12.14684134,11.79157556
Brunei Darussalam,General government final consumption expenditure (% of GDP),20.16431821,21.41841615,25.06167623,26.22271781,26.47721239,24.1412808
Bhutan,General government final consumption expenditure (% of GDP),17.75719904,17.35050126,18.25620434,17.27504382,16.80426258,17.11690279
Botswana,General government final consumption expenditure (% of GDP),31.06332226,29.25379138,31.639399,28.47572185,28.87808593,29.09851897
Central African Republic,General government final consumption expenditure (% of GDP),17.35920513,15.53093382,14.77679854,14.40810862,14.06703431,7.700010003
Canada,General government final consumption expenditure (% of GDP),20.70433471,20.26656013,20.87782513,21.04804019,20.70333139,20.6814327
