Country,Subject Descriptor,Subject Notes,Units,2013,2014,2015,2016,2017,2018,Inflation Growth 2013-2018 (%)
Afghanistan,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,6.109,5.81,5,5,5,5.0,-18.15
Albania,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,2.169,2.743,3,3,3,3.0,38.31
Algeria,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,5.0,4.5,4,4,4,4.0,-20.0
Angola,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,9.395,8.43,7.581,7.181,7,7.0,-25.49
Antigua and Barbuda,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,2.976,3.013,2.978,3.017,2.774,2.505,-15.83
Argentina,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,9.842,10.051,10.053,10.054,10.053,10.053,2.14
Armenia,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,4.2,4,4,4,4,4.0,-4.76
Australia,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,2.463,2.535,2.578,2.541,2.444,2.422,-1.66
Austria,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,2.2,1.9,1.9,1.9,1.9,1.9,-13.64
Azerbaijan,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,3.365,6.75,6.5,6.5,6.25,6.0,78.31
The Bahamas,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,2.0,2,2,2,2,2.0,0.0
Bahrain,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,2.552,2.145,2,2,2,2.0,-21.63
Bangladesh,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,6.542,6.209,5.871,5.544,5.5,5.5,-15.93
Barbados,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,4.894,4.469,4.404,4.391,4.404,4.463,-8.81
Belarus,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,20.5,15.5,20.8,20.141,20.094,20.099,-1.96
Belgium,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,1.726,1.359,1.173,1.155,1.162,1.181,-31.58
Belize,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,1.309,2,2,2,2,2.0,52.79
Benin,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,3.473,2.802,3.045,2.89,2.799,2.799,-19.41
Bhutan,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,10.21,9.073,8.238,7.025,6.173,5.951,-41.71
Bolivia,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,4.625,4.28,4.027,4.033,4.033,4.033,-12.8
Bosnia and Herzegovina,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,1.8,1.8,1.9,2,2.2,2.2,22.22
Botswana,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,7.227,6.877,6.627,6.477,6.427,6.427,-11.07
Brazil,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,6.134,4.73,4.5,4.5,4.5,4.5,-26.64
Brunei Darussalam,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,1.5,1.966,1.617,1.529,1.442,1.442,-3.87
